id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
8965.0,en,Atlantis: Milo's Return,23.138,2003-02-25,6.2,1837.0,"['Fantasy', 'Animation', 'Science Fiction', 'Family', 'Action']",Milo and Kida reunite with their friends to investigate strange occurances around the world that seem to have links to the secrets of Atlantis.,0.0,70.0,The all-new adventures
211954.0,es,No se Aceptan Devoluciones,19.551,2013-07-20,7.7,671.0,"['Comedy', 'Drama']","Valentin is Acapulco's resident playboy, until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.",99067206.0,122.0,Life doesn't care if you're ready.
423949.0,en,Unicorn Store,11.619,2017-09-11,6.0,721.0,"['Fantasy', 'Drama', 'Comedy']","A woman named Kit moves back to her parent's house, where she receives a mysterious invitation that would fulfill her childhood dreams.",0.0,92.0,Everyone needs a little magic. Even if they're all grown up.
38073.0,en,Going the Distance,10.68,2010-08-27,6.1,592.0,"['Comedy', 'Drama', 'Romance']","Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",42045846.0,102.0,A comedy about meeting each other halfway.
636879.0,en,A Nun's Curse,66.21,2020-05-12,6.2,66.0,['Horror'],A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,0.0,73.0,She will PREY for you!
296096.0,en,Me Before You,97.535,2016-06-01,7.9,9490.0,"['Drama', 'Romance']","A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",207945075.0,110.0,Live boldly.
419743.0,en,Disobedience,41.103,2017-09-10,7.0,866.0,"['Drama', 'Romance']","A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.",0.0,114.0,Love is an act of defiance
323677.0,en,Race,23.068,2016-02-19,7.3,1285.0,"['Action', 'Drama', 'History']","Based on the story of Jesse Owens, the athlete whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.",24804129.0,134.0,The incredible true story of gold medal champion Jesse Owens
375355.0,en,Don't Hang Up,11.45,2016-10-22,6.1,382.0,"['Horror', 'Thriller']",An evening of drunken prank calls becomes a nightmare for a pair of teenagers when a mysterious stranger turns their own game against them.,0.0,83.0,Be Careful Who You Prank
12253.0,en,Biker Boyz,13.542,2003-01-31,6.2,241.0,"['Action', 'Drama']","A mythic motorcycle tale of father and son"", this is the story of Manuel Galloway, also known as ""the King of Cali"", the president of a motorcycle club whose members are all African-American men, mostly white-collar workers who exchange their suits and ties at night and on weekends for leather outfits and motorcycle helmets.",23510601.0,110.0,Survival of the fastest.
189.0,en,Sin City: A Dame to Kill For,46.493,2014-08-20,6.4,3051.0,"['Crime', 'Action', 'Thriller']",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,39407616.0,102.0,There is no justice without sin.
576845.0,en,Last Night in Soho,88.37,2021-10-21,7.5,198.0,"['Drama', 'Horror', 'Mystery', 'Thriller']","A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",12000000.0,117.0,"When the past lets you in, the truth will come out."
353610.0,en,The Condemned 2,25.287,2015-11-06,5.2,114.0,['Action'],"A former bounty hunter who finds himself on the run as part of a revamped Condemned tournament, in which convicts are forced to fight each other to the death as part of a game that's broadcast to the public.",0.0,90.0,The world's deadliest game is back online
9620.0,en,Paycheck,18.937,2003-12-25,6.2,1376.0,"['Action', 'Adventure', 'Mystery', 'Science Fiction', 'Thriller']","Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.",95427515.0,119.0,Remember the future.
41402.0,en,Let Me In,21.975,2010-10-01,6.8,1565.0,"['Drama', 'Horror', 'Mystery']",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.,24145613.0,116.0,Innocence dies. Abby doesn't.
13012.0,en,Felon,11.917,2008-07-17,7.2,623.0,"['Action', 'Crime', 'Drama', 'Mystery']",A family man convicted of killing an intruder must cope with life afterward in the violent penal system.,0.0,103.0,No rule. No hope. No way out.
